phonetic,head_in_shuowen,head_gloss,head_dx_fanqie,char,sw_id,relation,shuowen_gloss,daxu_fanqie,mc_bs2014,guangyun_position,mc_confidence,head_mc_bs2014,oc_bs2014,oc_bs_match,head_oc_bs2014,head_oc_bs_match,morph_relation_auto,morph_diff,src
丑,True,紐也。十二月，萬物動，用事。象手之形。時加丑，亦舉手時也。凡丑之屬皆从丑。,敕九切,𡚽,8080,聲,人姓也。从女丑聲。《商書》曰：“無有作𡚽。”,呼到切,xawH,曉開一豪去,identical_fanqie,trhjuwX,,not_in_bs,*[n̥]ruʔ,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
丑,True,紐也。十二月，萬物動，用事。象手之形。時加丑，亦舉手時也。凡丑之屬皆从丑。,敕九切,紐,8609,聲,系也。一曰結而可解。从糸丑聲。,女久切,nrjuwX,孃三尤上,identical_fanqie,trhjuwX,*n<r>uʔ,mc_match,*[n̥]ruʔ,mc_match,O,ini;uncertain,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
丑,True,紐也。十二月，萬物動，用事。象手之形。時加丑，亦舉手時也。凡丑之屬皆从丑。,敕九切,鈕,9289,聲,印鼻也。从金丑聲。,女久切,nrjuwX,孃三尤上,identical_fanqie,trhjuwX,,not_in_bs,*[n̥]ruʔ,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
丑,True,紐也。十二月，萬物動，用事。象手之形。時加丑，亦舉手時也。凡丑之屬皆从丑。,敕九切,䂇,9464,聲,剌也。从矛丑聲。,女久切,nrjuwk,孃三東入,initial_only,trhjuwX,,not_in_bs,*[n̥]ruʔ,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
丩,True,相糾繚也。一曰瓜瓠結丩起。象形。凡丩之屬皆从丩。,居虯切,𦱠,1455,亦聲,艸之相丩者。从茻从丩，丩亦聲。,居虯切,kjiw,見開三A幽平,identical_fanqie,kjuw,,not_in_bs,*k-riw,single_reading,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
丩,True,相糾繚也。一曰瓜瓠結丩起。象形。凡丩之屬皆从丩。,居虯切,叫,923,聲,嘑也。从口丩聲。,古弔切,kewH,見開四蕭去,identical_fanqie,kjuw,*kˤewk-s,mc_match,*k-riw,single_reading,C,"pre,ini,phar,v,coda,suf",说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
丩,True,相糾繚也。一曰瓜瓠結丩起。象形。凡丩之屬皆从丩。,居虯切,赳,984,聲,輕勁有才力也。从走丩聲。讀若鐈。,居黝切,kjiwX,見開三A幽上,identical_fanqie,kjuw,,not_in_bs,*k-riw,single_reading,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
丩,True,相糾繚也。一曰瓜瓠結丩起。象形。凡丩之屬皆从丩。,居虯切,嘂,1434,聲,高聲也。一曰大呼也。从㗊丩聲。《春秋公羊傳》曰：“魯昭公叫然而哭。”,古弔切,kewH,見開四蕭去,identical_fanqie,kjuw,,not_in_bs,*k-riw,single_reading,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
丩,True,相糾繚也。一曰瓜瓠結丩起。象形。凡丩之屬皆从丩。,居虯切,句,1450,聲,曲也。从口丩聲。凡句之屬皆从句。,古矦切,kuw,見一侯平,initial+rhyme+tone,kjuw,*[k]ˤ(r)o,mc_match,*k-riw,single_reading,C,"pre,ini,phar,med,v,coda;uncertain",说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
丩,True,相糾繚也。一曰瓜瓠結丩起。象形。凡丩之屬皆从丩。,居虯切,訆,1651,聲,大呼也。从言丩聲。《春秋傳》曰：“或訆于宋大廟。”,古弔切,kewH,見開四蕭去,identical_fanqie,kjuw,,not_in_bs,*k-riw,single_reading,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
