sw_id,char,daxu_gloss,daxu_yisheng,xiaoxu_yisheng,xiaoxu_phonetic,xiaoxu_text,match_score,match_conf,agreement
1633,𧥣,扣也。如求婦先𧥣叕之。从言从口，口亦聲。,True,,,聲迂勸反知處告言之从言冋聲,0.29,low,not_aligned
1724,謎,隱語也。从言、迷，迷亦聲。,True,,,本騃也从言疑聲,0.53,low,not_aligned
1745,菐,瀆菐也。从丵从廾，廾亦聲。凡菐之屬皆从菐。,True,,,百重七十八义手也从彐凡臼之屬皆从臼,0.42,low,not_aligned
1746,僕,給事者。从人从菐，菐亦聲。,True,,,,0,none,not_aligned
1747,𠔯,賦事也。从菐从八。八，分之也。八亦聲。讀若頒。一曰讀若非。,True,True,八,賦事也从菐从八八分之也八亦聲讀若頒一曰讀若非,1.0,high,both
1763,弈,圍棊也。从廾亦聲。《論語》曰：“不有博弈者乎！”,True,True,从,圍棊也从亦聲論語曰不有博弈者乎,0.93,high,both
1766,樊,鷙不行也。从𠬜从棥，棥亦聲。,True,,,鷙不行也从□棥亦聲,0.78,medium,not_aligned
1778,䢅,早昧爽也。从𦥑从辰。辰，時也。辰亦聲。𠃨夕爲𡖊，臼辰爲䢅，皆同意。凡䢅之屬皆从䢅。,True,,,早昧爽也从臼辰辰時也亦聲丮夕爲臼辰為晨皆同意凡晨之属皆从䢅,0.75,medium,not_aligned
1782,釁,血祭也。象祭竈也。从爨省，从酉。酉，所以祭也。从分，分亦聲。,True,,,,0,none,not_aligned
1789,鞣,耎也。从革从柔，柔亦聲。,True,,,履也从革是聲,0.57,low,not_aligned
1798,䩡,鞮䩡沙也。从革从夾，夾亦聲。,True,,,鞮䩡沙也从革从夾夾亦聲苟掐反鞮属也从革徙聲,0.67,medium,not_aligned
1915,𠭥,楚人謂卜問吉凶曰𠭥。从又持祟，祟亦聲。讀若贅。,True,False,,楚人謂卜問吉凶曰从又持祟讀若贅,0.91,high,daxu_only
1995,整,齊也。从攴从束从正，正亦聲。,True,,,春也从攴聲,0.53,low,not_aligned
1998,政,正也。从攴从正，正亦聲。,True,,,春也从攴聲,0.62,low,not_aligned
2019,㪉,合會也。从攴从合，合亦聲。,True,,,合會也从攴合聲茍合反列也从攴陳聲,0.56,low,not_aligned
2029,敡,侮也。从攴从易，易亦聲。,True,,,春也从攴聲,0.62,low,not_aligned
2032,𣀆,朋侵也。从攴从羣，羣亦聲。,True,,,小春也从攴聲,0.53,low,not_aligned
2034,𢿳,煩也。从攴从𤔔，𤔔亦聲。,True,,,春也从攴聲,0.62,low,not_aligned
2041,鼓,擊鼓也。从攴从壴，壴亦聲。,True,,,撃皷也从攴壴壴亦聲讀若屬,0.6,low,not_aligned
2075,甫,男子美稱也。从用、父，父亦聲。,True,,,,0,none,not_aligned
2125,𢌨,相顧視而行也。从目从㢟，㢟亦聲。,True,,,視之也大視也从目蒦聲,0.45,low,not_aligned
2169,瞑,翕目也。从目、冥，冥亦聲。,True,,,平目也从目㒼聲,0.67,medium,not_aligned
2185,眇,一目小也。从目从少，少亦聲。,True,True,少,一目小也从目少亦聲,0.89,high,both
2225,齅,以鼻就臭也。从鼻从臭，臭亦聲。讀若畜牲之畜。,True,,,也勤潜反鳥也从隹从人厂聲讀若鴈,0.38,low,not_aligned
2230,奭,盛也。从大从皕，皕亦聲。此燕召公名。讀若郝。《史篇》名醜。,True,,,,0,none,not_aligned
2281,雊,雄雌鳴也。雷始動，雉鳴而雊其頸。从隹从句，句亦聲。,True,True,句,雌雉鳴也雷始動雉鳴而鴝其頸从隹句句亦聲,0.86,high,both
2287,𨿳,鳥也。从隹，瘖省聲。或从人，人亦聲。,True,True,人,鳥也从隹瘖省聲或从人人亦聲,1.0,high,both
2321,𤊾,火不明也。从𥄕从火，𥄕亦聲。《周書》曰：“布重𤊾席。”織蒻席也。讀與蔑同。,True,True,苜,大不明也从苜火苜亦聲周書曰布重席織蒻席也讀與蔑同,0.83,high,both
2347,羌,西戎牧羊人也。从人从羊，羊亦聲。南方蠻閩从虫，北方狄从犬，東方貉从豸，西方羌从羊：此六種也。西南僰人、僬僥，从人；蓋在坤地，頗有順理之性。唯東夷从大。大，人也。夷俗仁，仁者壽，有君子不死之國。孔子曰：“道不行，欲之九夷，乘桴浮於海。”有以也。,True,True,羊,西戎从羊人也从人从羊羊亦聲南方蠻閩从虫北方狄从犬東方貉从豸西方羗从羊此六種也西南𤏡人僬僥从人蓋在坤地頗有順理之性惟東夷从大大人也夷俗仁仁者夀有君子不死之國孔子曰道不行欲之九夷秉桴浮於海以也,0.93,high,both
2351,瞿,鷹隼之視也。从隹从䀠，䀠亦聲。凡瞿之屬皆从瞿。讀若章句之句。,True,,,勤潜反鳥也从隹从人厂聲讀若鴈,0.37,low,not_aligned
2492,幽,隱也。从山中𢆶，𢆶亦聲。,True,,,,0,none,not_aligned
2494,叀,專小謹也。从幺省；屮，財見也；屮亦聲。凡叀之屬皆从叀。,True,,,,0,none,not_aligned
2501,舒,伸也。从舍从予，予亦聲。一曰舒，緩也。,True,False,,伸也从舍予聲一曰舒緩也,0.92,high,daxu_only
2518,𠭘,坑也。从𣦼从井，井亦聲。,True,,,,0,none,not_aligned
2533,殯,死在棺，將遷葬柩，賓遇之。从歺从賓，賓亦聲。夏后殯於阼階，殷人殯於兩楹之閒，周人殯於賓階。,True,True,賔,死在棺將遷葬柩賔遇之从歺賔賔亦聲夏后殯於阼階殷人殯於兩楹之間周人殯於賔階,0.85,high,both
2694,腥,星見食豕，令肉中生小息肉也。从肉从星，星亦聲。,True,,,胜而苴熟之息形反豕肉羹也从肉堯聲,0.35,low,not_aligned
2726,腔,内空也。从肉从空，空亦聲。,True,,,掖下也从肉去聲,0.5,low,not_aligned
2765,剝,裂也。从刀从录。录，刻割也。录亦聲。,True,,,裂也从刀录聲一曰录剋割也逼朔反剥或从卜問也从刀害聲,0.49,low,not_aligned
2768,劃,錐刀曰劃。从刀从畫，畫亦聲。,True,,,獺反錐刀也从刀畫畫亦聲麾獲反挑取也从刀肙聲一曰,0.44,low,not_aligned
2771,劑,齊也。从刀从齊，齊亦聲。,True,False,,齊也从刀齊聲,0.86,high,daxu_only
2794,刺,君殺大夫曰刺。刺，直傷也。从刀从朿，朿亦聲。,True,,,梗尤反大鎌也一曰摩也从刀豈聲,0.4,low,not_aligned
2984,筑,以竹曲五弦之樂也。从竹从𢀜。𢀜，持之也。竹亦聲。,True,,,祝反鼓弦竹身樂也从竹爭聲,0.4,low,not_aligned
2989,簺,行棊相塞謂之簺。从竹从塞，塞亦聲。,True,True,塞,行棊相塞謂之簺从竹塞塞亦聲,0.96,high,both
3006,䢋,古之遒人，以木鐸記詩言。从辵从丌，丌亦聲。讀與記同。,True,True,丌,古之道人以木鐸記詩言从辵从丌丌亦聲讀與記同,0.95,high,both
