group,series,char,ids,guangyun_all_readings,code_core,note,src
layer2_later,喬,㝯,⿱宀喬,羣開三B宵平 巨嬌切 gjew,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,喬,㢗,⿸广喬,溪開三B宵去 丘召切 khjewH,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,喬,䀉,⿱喬皿,羣開三B宵平 巨嬌切 gjew,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,喬,䚩,⿰角喬,見開三B宵上 居夭切 kjewX,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,喬,嘺,⿰口喬,羣開三A宵平 渠遙切 gjiew,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,喬,憍,⿰忄喬,見開三B宵平 舉喬切 kjew,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,喬,毊,⿱殸喬,曉開三B宵平 許嬌切 xjew | 羣開三B宵平 巨嬌切 gjew,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,喬,穚,⿰禾喬,見開三B宵平 舉喬切 kjew,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,喬,簥,⿱竹喬,見開三B宵平 舉喬切 kjew,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,喬,蕎,⿱艹喬,見開三B宵平 舉喬切 kjew | 羣開三B宵平 巨嬌切 gjew,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,喬,譑,⿰言喬,見開三B宵上 居夭切 kjewX | 溪開三B宵去 丘召切 khjewH,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,喬,轎,⿰車喬,羣開三B宵平 巨嬌切 gjew | 羣開三B宵去 渠廟切 gjewH,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,喬,鞽,⿰革喬,溪開三B宵平 起囂切 khjew,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,喬,鱎,⿰魚喬,見開三B宵上 居夭切 kjewX,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,喬,𢄹,⿰巾喬,溪開三B宵平 起囂切 khjew,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,喬,𨲭,⿰镸喬,羣開三B宵上 巨夭切 gjewX,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,氐,䟡,⿰𧾷氐,端開四齊去 都計切 tejH,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,氐,䩚,⿰革氐,端開四齊去 都計切 tejH,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,氐,䬫,⿰飠氐,端開四齊平 都奚切 tej | 定開四齊平 杜奚切 dej,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,氐,岻,⿰山氐,澄開三脂平 直尼切 drij | 端開四齊平 都奚切 tej,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,氐,弤,⿰弓氐,端合一魂平 都昆切 twon | 端開四齊上 都禮切 tejX,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,氐,彽,⿰彳氐,澄開三脂平 直尼切 drij,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,氐,疷,⿸疒氐,知開三脂平 丁尼切 trij,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,氐,秪,⿰禾氐,知開三脂平 丁尼切 trij,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,氐,茋,⿱艹氐,章開三脂上 職雉切 tsyijX,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,氐,觝,⿰角氐,端開四齊上 都禮切 tejX,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,氐,貾,⿰貝氐,澄開三脂平 直尼切 drij,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,氐,骶,⿰骨氐,端開四齊去 都計切 tejH,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,氐,𦨢,⿰舟氐,端開四齊去 都計切 tejH,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,氐,𩶅,⿰魚氐,昌開三脂平 處脂切 tsyhij,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,票,㟽,⿰山票,幫三A宵上 方小切 pjiewX,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,票,㬓,⿰日票,滂三A宵去 匹妙切 phjiewH,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,票,䏇,⿰耳票,滂三A宵去 匹妙切 phjiewH,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,票,瘭,⿸疒票,幫三A宵平 甫遙切 pjiew,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,票,篻,⿱竹票,明三A宵平 彌遙切 mjiew | 滂三A宵上 敷沼切 phjiewX,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,票,螵,⿰虫票,並三A宵平 符霄切 bjiew | 滂三A宵平 撫招切 phjiew,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,票,褾,⿰衤票,幫三A宵上 方小切 pjiewX,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,票,醥,⿰酉票,滂三A宵上 敷沼切 phjiewX,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
